000001, 1321321;21, 213123;54, 4536453, 00, 2026-04-24, 30:00, 34653, 243453, fsdfsdfs, 2434-2324342, dfsdfsdf, ds3433123.123, 313hgcvhcvbn, Distrito_Capital, Libertador, La_Candelaria, dfghdfgbcgfb, on, on, on, on, on, on, 54324, on, on, on, on, on, on, on, on, on, efimero, proteccion_15M, on, off, off, off, off, on, 2221312bxcvx x xzvd, fsdfsdfsdf, cgfhcfhcfgbc, on, on, on, on, on, on, on, on, on, on, on, on, on, on, on, on, on, on, on, on, on, on, on, on, on, on, 452341, 132312.02, fxzdf sdx vxfdv xcfv, materiales_sueltos, rastrillo, gravedad, xd vx vxdcfv, corte_vanqueta, cantidad, 321, 21, 313, 213, 2132, 13, 213, 21321, rectangular, trapezoidal, triangular, ----, rectangular, trapezoidal, circular, ranura, rastrillo, enrejado, 45, 42342, 3, 123, 12, 312, 3, danos_estruc-ex_ace_su, danos_estruc-ero_estruc_inter, danos_estruc-ero_cober_inter, danos_estruc-def_exce_alza, danos_estruc-efec_sismi, danos_estruc-desli_exter, danos_estruc-ruptu_fricc, danos_estruc-despla_profu, danos_estruc-desliza, danos_estruc-desplaza, danos_estruc-sobre_paso, danos_estruc-vuelco, danos_visivles-rup_es_cort, danos_visivles-rup_falla_cort, danos_visivles-rup_esfu_raspan, danos_visivles-fisu_capa_concre, danos_visivles-super_giro_exce, danos_visivles-eroci_superfi, danos_visivles-socava_base, danos_visivles-discon_concre, danos_visivles-figu_exce, danos_visivles-colma, danos_visivles-carca, danos_visivles-asenta, danos_funci-gene_duct, danos_funci-frac_comp, danos_funci-obst_alivi, danos_funci-perme_cober_inter, danos_funci-sedi_alt_max_obra, danos_funci-infil, mortero_borilla, hf hfgh fh, bajo, hfhg, gfhgfhg, 3453245234, hfghfg, fhfgh, 13423, hfgh, fghfgh, 423434

----, ----, ----, ----, 00, ----, ----, ----, ----, ----, ----, ----, ----, ----, Distrito_Capital, Libertador, ----, ----, off, off, off, off, off, off, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, ----, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, off, ----, ----, ----, ----, ----, ----, ----, ----, ----
----, ----, ----, ----, 00, ----, ----, ----, ----, ----, ----, ----, ----, ----, Distrito_Capital, Libertador, ----, ----, off, off, off, off, off, off, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, ----, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, off, ----, ----, ----, ----, ----, ----, ----, ----, ----
----, ----, ----, ----, 00, ----, ----, ----, ----, ----, ----, ----, ----, ----, Distrito_Capital, Libertador, ----, ----, off, off, off, off, off, off, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, ----, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, off, ----, ----, ----, ----, ----, ----, ----, ----, ----
----, ----, ----, 000001, 00, ----, ----, ----, ----, ----, ----, ----, ----, ----, Distrito_Capital, Libertador, ----, ----, off, off, off, off, off, off, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, ----, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, off, ----, ----, ----, ----, ----, ----, ----, ----, ----
----, ----, ----, 000001, 00, ----, ----, ----, ----, ----, ----, ----, ----, ----, Distrito_Capital, Libertador, ----, ----, off, off, off, off, off, off, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, ----, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, off, ----, ----, ----, ----, ----, ----, ----, ----, ----
----, ----, ----, 000001, 00, ----, ----, ----, ----, ----, ----, ----, ----, ----, Distrito_Capital, Libertador, ----, ----, off, off, off, off, off, off, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, ----, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, off, ----, ----, ----, ----, ----, ----, ----, ----, ----
----, ----, ----, 000001, 00, ----, ----, ----, ----, ----, ----, ----, ----, ----, Distrito_Capital, Libertador, ----, ----, off, off, off, off, off, off, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, ----, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, off, ----, ----, ----, ----, ----, ----, ----, ----, ----
----, ----, ----, 000001, 00, ----, ----, ----, ----, ----, ----, ----, ----, ----, Distrito_Capital, Libertador, ----, ----, off, off, off, off, off, off, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, ----, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, off, ----, ----, ----, ----, ----, ----, ----, ----, ----
----, ----, ----, 000001, 00, ----, ----, ----, ----, ----, ----, ----, ----, ----, Distrito_Capital, Libertador, ----, ----, off, off, off, off, off, off, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, ----, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, off, ----, ----, ----, ----, ----, ----, ----, ----, ----
----, ----, ----, 000001, 00, ----, ----, ----, ----, ----, ----, ----, ----, ----, Distrito_Capital, Libertador, ----, ----, off, off, off, off, off, off, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, ----, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, off, ----, ----, ----, ----, ----, ----, ----, ----, ----
----, ----, ----, 000001, 00, ----, ----, ----, ----, ----, ----, ----, ----, ----, Distrito_Capital, Libertador, ----, ----, off, off, off, off, off, off, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, ----, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, off, ----, ----, ----, ----, ----, ----, ----, ----, ----
----, ----, ----, 000001, 00, ----, ----, ----, ----, ----, ----, ----, ----, ----, Distrito_Capital, Libertador, ----, ----, off, off, off, off, off, off, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, ----, ----, off, off, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, ----, off, ----, off, off, ----, ----, ----, ----, ----, ----, ----, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, off, ----, off, ----, ----, ----, ----, ----, ----, ----, ----, ----
